,sentimen,tweet
773,positif,"Pak Jokowi itu negarawan sejati. Semalam saya melihat Pak Jokowi sepenuh hati berusaha tidak merendahkan cara oposisi memahami permasalahan ekonomi sebuah institusi sebesar negara. Padahal jelas sekali, cara pandang oposisi itu kekanak-kanakan. ðŸ˜…"
774,netral,Probowo menjawab bahwa masalah ekonomi di Indonesia bukanlah salah Jokowi #bukansalahbapak
775,netral,Jokowi Mantabkan Ekonomi Prabowo Salahkan MasaÂ Lalu  https://lintasdaerah.com/jokowi-mantabkan-ekonomi-prabowo-salahkan-masa-lalu/Â â€¦ pic.twitter.com/0aUOVJOH0N
776,negatif,Paradoks saat tuduh Prabowo pro radikal saat itu juga tuduh Prabowo gak hargai ijtimak ulama Hadewww
777,positif,"Subhanallah.... Baru kali ini dlm sejarah bangsa, Presiden & Wakilnya TIDAK MENGAMBIL HAK GAJINYA... Rakyat harus tau nihh... Jgn lupa kawal PEMILU 2019 dg baik2 #RinduPemimpinCintaIslam pic.twitter.com/zY2gGJ93FP"
778,positif,"Keliling pasar, cek harga, beli petai, tasbih ulama, terakhir umrah menjelang pilpres... Kayaknya ada yg ngikuuuuuuuut bang @sandiuno nih.. #UASdifitnahKejiDanBrutal"
779,negatif,"Klo ekonomi g naik, bgmn masyarakat bisa tumbuh aplgi merata ? Krn anda jadi presiden, hutang meningkat dan kami rakyat Indonesia harus membayarnya secara merata...   Rakyat dapat kartu pra kerja tapi TKA China yg dapat kerjaan...   Please ... Kami sudah muak dgn anda!"
780,negatif,"Se7,@jokowi itu kelasnya mentok sbenernya gubernur itupun belum teruji bs bener gak urus ibu kota jkt??? Yg paling ngaco itu pendukung @jokowi yg ngotot 2periode, 4.5th kerja yg agak bener hanya infrastruktur itupun???ekonomi itu gk melulu insfrastruktur ad instrumen yg lainnyaðŸ™"
781,netral,"Memangnya pak jokowi ambil, dr jadi walikota solo pak jokowi nggak pernah ambil gajih, tp di sumbangkan"
782,positif,Semua gaji Prabowo Sabdi akan di serahkan ke Negara dan kaum Duafa....  Pemimpin yang Mulia....
783,positif,"dari sabang sampai merauke,bhineka tunggal ika,beragam tp tetap satu Indonesia,NKRI harus tetap dijaga dan idiologi PANCASILA sampai kapanpun TIDAK dapat dirubah,harga mati.."
784,negatif,Lo kok pilih jokowi sih?? Mau lo dibego2in lagi? Ga liat apa harga pd naik?? Iya.. harga pd naik.. tp gaji gw juga naik.  Gaji lo ga naik? Mungkin karna kerja lo cuma ngabisin kopi di pantry kantor. Ga heran
785,positif,Lo klo ga suka sama Jokowi ga gtu2 jg donk ðŸ˜† belajarlah menghargai prestasi dan karya serta proses seseorang sampai menjadi pemimpin. Nah baru belajar tweet politik ðŸ˜Š . Tp susah jg ya namanya ga suka mau diapain jg ga suka... ðŸ˜†ðŸ˜†
786,netral,"Mahar sederhana #TerimaKasihIstriku Jokowi dan Iriana menikah pada  24 Desember 1986 di Solo. Mahar pernikahan Jokowi dan Iriana sederhana.  Mahar berupa alat salat, Alquran, dan cincin kawin. Harga cincin kawin  kala itu Rp 24 ribu."
787,positif,"Nampaknya cara @sandiuno ini sudah ditungguin oleh Jokowi karena tipenya dari debat 1 selalu menyebut contoh ekonomi dg nama ibu2 .....Begitu di debat ini sandi mulai melayangkan bola langsung di Smesh oleh Jokowi...Game Over,  Skak Matt... Mantul pak Eko..ðŸ‘  https://twitter.com/permadiaktivis/status/1117087950716559360Â â€¦"
788,negatif,Gaji prbwo sandi hanya +/- 65jt buat kaum duafa..  Tapi uang tilep ratusan milyar masuk kantong pribadi ya.. Hadeh miris..
789,positif,"Sudah betul pak prabowo ga mau jawab langsung ,biar cawapres yg jawab,karena masalah itu ga fundamental secara ekonomi,tapi berhubung si jae masih ngotot terus ya sesi kedua di jawab prabowo masalah itu ga penting yg penting kesejahteraan rakyat termasuk pertanian,...."
790,netral,"Dampak ekonomi tidak langsung Asian Games 2018, meliputi tahap konstruksi, operasional penyelenggaraan &kedatangan pengunjung, berkontribusi pd pertumbuhan PDB dan nilai tambah ekonomi, peningkatan output sektor, penyerapan tenaga kerja & peningkatan pendapatan riil. Jokowi hebat"
791,positif,"Gw sangat mendukung Jokowi seumur hidup jd presiden bahkan 7 turunannya gw pilih terus, jika jd gamers itu bisa memberantas pengangguran diindonesia, siapa yg gak mau kerjanya cm tidur2an pegang hp dapat gaji"
792,positif,Trimakasih @KemenPU  Trimakasih @tni_ad  Trimakasih @jokowi  Prjuangan yg luar biasa ðŸ‘ðŸ¿ Pelan tp pasti alhmdllh masy di ujung Ind bs merasakan manfaat adanya infrastruktur. Ikut senang kalo pajak yg kt bayar ke negara dipakai utk hal2 spt ini ðŸ™‚
793,netral,RT mosyantax: Demokrat minta Prabowo hargai kontribusi Presiden Keenam SBY  http://bit.ly/2KBo254Â  #mosyanorganizer #mosyancc
794,positif,Ekonomi tidak sekedar bertumbuh. Iyaa..TAPI BERTAMBAH
795,netral,"Prabowo Salahkan Presiden Sebelum Jokowi, AHY Minta Hargai Kontribusi SBY  https://news.solopos.com/read/20190414/496/985249/prabowo-salahkan-presiden-sebelum-jokowi-ahy-minta-hargai-kontribusi-sby?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ pic.twitter.com/wm7WJXZXb1"
796,positif,Belum ada pemimpin negara presiden dan wakilnya  yang menyerahkan gajinya kepada rakyat untuk keperluan rakyatnya Seperti Prabowo
797,negatif,Penghasilan pak Jokowi dari bisnis Meubelnya jauh lebih besar dari gaji presidennya. Paling lu hanya bisa membodohi kaum kampret...
798,positif,"Dampak ekonomi tidak langsung Asian Games 2018, meliputi tahap konstruksi, operasional penyelenggaraan, &kedatangan pengunjung, berkontribusi pd pertumbuhan PDB& nilai tambah ekonomi, peningkatan output sektor, penyerapan tenaga kerja &peningkatan pendapatan riil. Jokowi hebat!"
799,positif,"Kalo janji gaji ga diambil. Yg bgawal Ulama ""bener"" Kurang apa lagi coba.  TPS lah.  #17AprilTPS Tusuk Prabowo Sandi"
800,netral,Demokrat minta Prabowo hargai kontribusi Presiden Keenam SBY  http://bit.ly/2KBo254Â 
801,negatif,Jokowi: Apa yang akan bapak lakukan untuk pengembangan e-sport mobile legend kedepan?  Prabowo: Tingkatkan produksi pertanian! Tingkatkan kualitas buruh! Turunkan harga! Itu yang akan saya fokus!  Gw: @$&##$&? ðŸ˜­ðŸ˜­ðŸ˜­
802,netral,BUMN benteng ekonomi negara...   #Prabowo
803,netral,Jokowi Tegaskan NKRI dan Bhineka Tunggal Ika Harga Mati #PancasilaHargaMati #LestarikanPancasila https://radarkontra.com/jokowi-tegaskan-nkri-dan-bhineka-tunggal-ika-harga-mati/Â â€¦
804,positif,"Sahabat Asykar Moesa Jika Bapak Prabowo Subianto dan Bapak Sandiaga Salahuddin Uno terpilih menjadi Presiden dan Wakil Presiden, Mereka akan menyumbangkan Gaji mereka ke Kaum Dhuafa dan tidak akan menerima sepeserpun.  Luar Biasa Komitmen Mereka Berdua ðŸ‘‰âœŠðŸ‘‰"
805,netral,"Masa Tenang, Prabowo Minta Didoain Ulama? - Warta Ekonomi  https://www.wartaekonomi.co.id/read223678/masa-tenang-prabowo-minta-didoain-ulama.htmlÂ â€¦"
806,positif,Aamiin ya Allah..... Berilah kesempatan kepada pak @prabowo dan bang @sandiuno memimpin Indonesia dan berilah kesempatan kepada pak @RamliRizal untuk membantu memperbaiki ekonomi Indonesia.  Aamiin...
807,negatif,ðŸ˜‚ðŸ˜‚ Sandi sandi masa ga bs bdain Ekonomi Makro dgn Mikro
808,negatif,"sekarng aja sudah sangat timpang,4.5 tahun tidur kali ya. rakyat terpecah bela,mau 2 priode. jaman SBY Rakyat adem adem,ekonomi berjalan dengan baik."
809,positif,"Jujur, akupun ngga tau bedanya ekonomi makro dan ekonomi mikro. Ketika sekua orang memperdebatkan salahnya pak sandiaga uno dan di sanggah pak jokowi, aku lho diem....  Soalnya ga mudeng"
810,negatif,"Kalo ngnggur aja digajih, ngapain musti capek2 kerja ðŸ™ƒ"
811,negatif,"Klo org korea, singapore, australia mau jokowi silahkan ambil. Faktanya di jaman beliau: pertumbuhan ekonomi melambat, laju penurunan masy miskin melambat, rekor terburuk defisit neraca perdagangan."
812,negatif,...  Bocor2 dan si Sandi Oke Oce yg bankrut.....  Dan keluhan 1 - 2 orang selalu dijadikan referensi ekonomi yg +/- 265 juta orang.....  Akal sehatnya sudah hilang.
813,positif,Di debat terakhir Jokowi menasehati paslon 02 soal pengelolaan ekonomi makro. Ini membuktikan bahwa Jokowi menguasai persoalan ekonomi. #01JokowiAmin #JokowiMenangTotalDebat @MarthinLase4 @totosudarmongi @AlvinoLulu https://money.kompas.com/read/2019/04/13/215937526/jokowi-pak-prabowo-pak-sandi-mengelola-ekonomi-makro-berbeda-dengan-ekonomiÂ â€¦
814,negatif,"Pertumbuhan ekonomi apa, gaji aja kagak naik"".."
815,negatif,"GOBLOK KOK DIPELIHARA. SEKARANG JAMANNYA INDUSTRI KREATIF BRO, LO TAU NGGAK OMZET PEMILIK KOMIK SI JUKI BERAPA? BISA NYAMPE RATUSAN JUTA PER BULANNYA WOII. LAH ELO DIGAJI BRP? LO PENGANGGURAN KAN YA? KASIAN. MAKANYA KOMIK SI JUKI LAYAK DIAPRESIASI PRESIDEN JOKOWI"
816,positif,"70 Tahun Merdeka, harga bbm bisa sama sampai Papua yg bikin ya Jokowi melawan para mafia. Itu dulu satu, kalau ku jelaskan banyak yg dilakukan Jokowi nanti nyinyir pade."
817,negatif,"Antek asing, PKI, ekonomi amburadul. harga2 naik, raja hutang, plonga-plongo, sekolam,....bla...bla..blaðŸ˜ ðŸ‘†  ""BERISIK LU! Prabowo bilang BUKAN SALAH JOKOWI. Klean lebih Prabowo daripada Prabowo?ðŸ˜‘""  ""ðŸ˜³ðŸ‘†""  #bukansalahbapak pic.twitter.com/U3if7lOyMH"
818,negatif,"Maap Pak, Kalau tidak bisa memenuhi janji Bapak tahun 2014 tentang pertumbuhan ekonomi Indonesia, lebih baik Bapak jangan pakai cara ngeles dengan berbagai alasan, hanya perlu minta maaf saja Pak. Terimakasih."
819,positif,"Mobile legend bagian dr e-sport di game online. Klo diangkat ke debat capres tentu artinya penting dlm scope ekonomi kreatif dan pentingnya pengadaan platform internet oleh pemerintah. It makes sense. Jokowi visioner, pak. ðŸ™"
820,negatif,Dibanding sekarang zaman soeharto ketimpangan ekonomi ga sesadis sekarang.
821,negatif,"Akibat bapak @jokowi hutang, import amburadul, Ekonomi gak bertumbuh, rakyat gak punya duit buat makan atau jajan. rakyatnya disuruh main mobile legend aja. #PresidenSontoloyo"
822,negatif,"Ekonomi kita salah arah yg disalahkn wowo presiden sebelumnya. Ada byk presiden seblm pak jokowi kira2 siapa yg dimaksud. Sy pribadi jelas itu @SBYudhoyono ini buktinya, sejak 2009 dan 2014 wowo sdh menyalahkn SBY.â¬‡â¬‡â¬‡ @RachlanNashidik @AgusYudhoyono #bukansalahbapak pic.twitter.com/zh7JlKvJbZ"
823,netral,Maksimal Itu dari Rakyat yg membayar pajak harga rendah Coba pikir 2 kali
824,negatif,Ucapan ataupun pernyataan Bowo mengenai kesalahan orientasi ekonomi negeri ini yg kemudian ditujukan ke Presiden sebelum Jokowi sungguh membuat luka tersendiri untuk Demokrat  #PrabowoSalahkanSBY
825,negatif,Mungkin Prabowo meneladani karyawan PTKiani. Konon uda lama juga gak ambil gaji. Apa benar?
826,netral,"Jika Menang Pilpres, Prabowo dan Sandiaga Pastikan Tak Akan Ambil Gaji  https://amp.suara.com/news/2019/04/13/225552/jika-menang-pilpres-prabowo-dan-sandiaga-pastikan-tak-akan-ambil-gaji?utm_source=facebook&utm_medium=fp&utm_campaign=oxtaÂ â€¦"
827,netral,Yg Gak Menghargai Bukan Pak Jokowi Bang Andi.
828,negatif,"Bowo dalam debat mengatakan, orientasi ekonomi Indonesia tidak berada di jalur yang benar. Meskipun mengatakan itu, dirinya tidak menyalahkan Jokowi, namun para pemimpin sebelum Jokowi  https://www.suara.com/news/2019/04/13/224020/partai-demokrat-ngamuk-prabowo-dinilai-salahkan-sby-saat-debat-pilpresÂ â€¦ #PrabowoSalahkanSBY"
829,positif,Nyo buka youtube. Dngerin sekali lg yg ditanyain pak jokowi. Yg jd pembahasan awal kan bkn masalah e sport tapi pokok utamanya adl ekonomi digital. Dan Mobile legend cm jadi salah satu contoh.
830,negatif,"Bung Bowo menyebut kesalahan arah ekonomi Indonesia tidak semata salah Jokowi, tetapi juga presiden-presiden sebelumnya  https://www.cnnindonesia.com/nasional/20190413223315-32-386119/demokrat-kritik-prabowo-salahkan-presiden-sebelum-jokowiÂ â€¦ #PrabowoSalahkanSBY"
831,netral,@SandiUno @Prabowo @MardaniAliSera @FadliZon Bersama pak @prabowo dan bang @sandiuno kami akan turunkan harga listrik dan kebutuhan yg terjangkau tanpa mengeluarkan kartu kartu baru. #PrabowoSandiOKBanget. #02MenangDebat. #2019GantiPresiden. #AaGymPilihPr
832,negatif,"Dan Perut Rakyat, tidak bisa di isi dengan Kartu Semata... Ekonomi itu tidak sekedar Meroket ape lagi TekorðŸ¤£ðŸ˜†"
833,positif,Jokowi harga mati seprti NKRI
834,netral,"Wahhh niru capressnya nih, gak menghargai presiden sebelum pak jokowi , jejeran artis lainnnya gak disebut oom ?? Kasihan mereka sudah all out"
835,netral,Prabowo-Sandi Tak Akan Ambil Gaji Sepeser Pun Jika Terpilih Menjadi Presiden  http://bit.ly/2UZNZiDÂ 
836,netral,"1) interest @prabowo adalah pd kesejahteraan rakyat, technologi adalah alat untuk mencapai itu. 2) @jokowi hanya mencoba menonjolkan pengetahuannya ttg makro ekonomi, yg tdk lengkap dan tampal baru saja dia ketahui. 3) Utk @jokowi digitech adalah tujuan"
837,negatif,"Coba cek ktp anda, ada tulisan status ekonomi ngga? Kaya atau miskin? Trus status pekerjaan atau pengangguran? Alamat rumah asli atau Kontrakan? Karena itulah kita butuh kartu2 lain sebelum e ktp disempurnakan. Kalian koq gampang ditipu sih? Polos atau bego?"
838,netral,Persoalan ekonomi Indonesia bukanlah kesalahan Jokowi. 3 kali pernyataan itu ditegaskan oleh #PrabowoSalahkanSBY sudah jelas sekali
839,positif,"@sandiuno mantaappppp....!!!!!!! Seharusnya waktu bilang ""TURUNKAN HARGA LISTRIK DAN TIDAK IMPOR SAAT PANEN"" diteriakkan dengan kencang. Akan lebih mantap...!!! Karena faktor itu lah kebanyakan rakyak kecewa dg @jokowi"
840,negatif,Fakta pertumbuhan kecil ya sangat berefek pada ekonomi dalam negeri lah ..  2014 pertumbuhan ekonomi juga jadi jargon kampanye anda .  Halah halahhhh ...  Semoga lekas ganti pemain deh
841,negatif,"Sebelumnya kan ngomong dengan mudahnya Janji  ekonomi bakal tumbuh diatas 7% ,eh sekarang lain lagi omongane, sehat pak jok????"
842,negatif,Seandainya Prabowo jadi presiden( amit amit) dan janji-janjinya ternyata gak terwujud dan ekonomi makan merosot pasti nyalahin pemerintah sebelumnya  yaitu Jo.... SBY ðŸ˜‘
843,positif,Sangat jelas skali kwalitas 02 yg cerdas dan berwawasan luas.  Debat tadi malam 02 menang mutlak ðŸ†ðŸ‘ 02 sangat layak memimpin bangsa ini. Gaji mereka relakan untuk fakir miskin dan kaum dhuafa
844,netral,"Jokowi: Pertumbuhan Ekonomi >5% Harus Disyukuri, Jangan KufurÂ Nikmat  https://bhinnekanusantara.id/jokowi-pertumbuhan-ekonomi-5-harus-disyukuri-jangan-kufur-nikmat/Â â€¦ pic.twitter.com/GpsxLj72Vs"
845,positif,Sah 01 satu suara 17 April 2019 Jokowi-Amin Harga Mati Untuk NKRI Maju.
846,positif,Capres 02 bilang didebat keadaan ekonomi Indonesia saat ini bukan salah @jokowi tapi salah pemimpin2 terdahulu. Jd utk penggemar 02 jangan salahkan Jokowi lagi ya krn bosmu udah bilang itu bukan salah Jokowi.  https://bit.ly/2UyAoiRÂ  #PrabowoSalahkanSBY
847,negatif,"@jokowi jika ekonomi, kesehatan, pendidikan kita baik2 saja. Knp harus ada kartu ini dan itu??? Serius nanya pak."
848,negatif,"Lu bloon juga ya. Jakarta lebih suram dipimpin Jokowi, pertumbuhan ekonomi Jakarta rendah"
849,negatif,"Harga tiket pesawat semakin menggila, pak @jokowi dan pak @BudiKaryaS  tolonglah rakyatmu ini."
850,positif,"Kami rakyat jelata/rakyat dr kalangan bwh,hanya ingin harga sembako bs di kuasai pemerintah,bukan di kuasai mafioso,dan hanya anda yg bs menguasai nya harga,mhn pak trm ksh"
851,negatif,"Lo dungu, ambil sampel satu game saja yg paling populer di Indonesia seperti COC tadi gak ada pemain COC yg menghasilkan uang dr main game, paling akunnya dijual yg beli anak SMP yg make duit bapaknya yg udah pusing sama bayaran kredit & pajak yg nguras gajinya yg kecil"
852,negatif,Masa bayar kan presiden.. Tinggal potong pajak ajakan beres....
853,positif,Terharu baca reply nya betapa dihargai dan diapresiasinya pak jokowi sama orang luar
854,negatif,"Jika yg dimaksud Prabowo dgn pembangunan ekonomi salah arah, adalah sistem ekonominya, mudah-mudahan Prabowo tidak menginginkan sistem ekonomi yang tertutup ya. Chavez sebagai sebuah cerita mungkin hebat, tp dia membuat Venezuela menderita"
855,positif,"Semoga Pak @jokowi  , di kabinet baru nya nanti memanggil Bapak untuk bertugas membangun ekonomi kita kembali Pak. Orang benar disayang Tuhan. ðŸ™"
856,negatif,"Tapi bapak sendiri yang bilang dengan optimisme bapak klo pertumbuhan ekonomi 8% itu bukan hal yg sulit. Nyatanya bapak gagal,ekonomi mentok di 5%. Optimisme itu bukan sekedar jargon pak"
857,negatif,"Om Wowo menyebut kesalahan arah ekonomi Indonesia tidak semata salah @jokowi, tetapi juga presiden-presiden sebelumnya.  HYPERLINK "" https://bit.ly/2DgcEp3Â ""  https://bit.ly/2DgcEp3Â  #PrabowoSalahkanSBY"
858,netral,"RT Harian_Jogja ""Kecewa, Demokrat Minta Prabowo Hargai Kontribusi SBY  https://news.harianjogja.com/read/2019/04/14/500/985236/keceemokrat-minta-prabowo-hargai-kontribusi-sby?utm_source=dlvr.it&utm_medium=twitterÂ â€¦  pic.twitter.com/D3S7TqJpSp"""
859,netral,"Sebut Ibu Mia saat Debat Ekonomi Makro, Sandiaga Disemprot Jokowi  https://amp.suara.com/news/2019/04/13/221059/sebut-ibu-mia-saat-debat-ekonomi-makro-sandiaga-disemprot-jokowi?utm_source=facebook&utm_medium=fpÂ â€¦"
860,netral,"Namanya juga jaman modern, gaji ya ditransfer bukan diambil.  Jika Terpilih, Prabowo-Sandi Tak Akan Ambil Gaji  http://share.babe.news/s/UFbckdNÂ "
861,positif,Basicnya cuma pengusaha. Hnya mencakup perusahaan kecil. Makanya si uno mana paham ekonomi makro ttg pengelolaan negara. Malah di kasih contoh kesusahan ibu2..ngakak gue dengernya
862,positif,"17 April Coblos Jokowi-Ma'ruf Untuk mengakhiri hambatan perdagangan, @jokowi mengembalikan tres positif perdagangan antara lain melalui perjanjian kerjasama ekonomi dgn Turki. #JokowiMenangTotalDebat Perdagangan Indonesia meningkat era @jokowi. #01ndonesiaMaju"
863,netral,"Pemerataan tersebut, kata Jokowi, juga mampu mendorong perekonomian di daerah. Ia memberi contoh adanya barang yang diproduksi oleh masyarakat sekitar."
864,negatif,"Udalah otak Lo udah dibodohi oleh perusahaan game, mrk yg dapat keuntungan besar bukan Indonesia, jadi gamers bkn lah sebuah pekerjaan, game cm sekedar hiburan tak ada penghasilan ekonomis dr game, hanya presiden bodoh yg bilang game bisa menambah pendapatan negara"
865,positif,Pancasila harga mati bravo pak presiden @jokowi  pic.twitter.com/knQYLidaeC
866,netral,"Kecewa, Demokrat Minta Prabowo Hargai Kontribusi SBY  https://news.harianjogja.com/read/2019/04/14/500/985236/keceemokrat-minta-prabowo-hargai-kontribusi-sby?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ pic.twitter.com/URQioNm6tC"
867,negatif,Basicnya pengusaha memang blum mampu menangani ekonomi makro. Makanya jabawan dr si uno begitu2 saja. Sampe jokowi kesal
868,netral,Ekonomi Indonesia merosot!!! Kata Prabowo #bukansalahbapak
869,netral,"Pernyataan Penutup: Jokowi-Ma'ruf Sebut Jangan Kufur Nikmat, Prabowo-Sandi Tak Ambil Gaji  http://dlvr.it/R2n40vÂ "
870,netral,"Ekonomi Indonesia sejak dulu sudah amburadul, kata Prabowo. #bukansalahbapak pic.twitter.com/AEyCTJ2QUZ"
871,positif,Semoga gaji guru madrasah bisa tersejahtrakan..semoga prabowo-sandi jadi presiden dan wakil presiden Republik Indonesia ini..aammiin
872,positif,"akutuh kasihan ngelihat pak jokowi udah berumur, tapi masih ttp trsnyum disaat org2 ngebenci dia:( diluar dia jadi capres, ak ttp ngehargai usaha bapa selama jd presiden. bapa org yg kuat, yg tabah, yg sabar akan hinaan2 rakyatnya sendiri:( kdg suka nangis deh klo ngeliat bapa"
873,negatif,Aku mau bertanya kenapa pak Prabowo gak bisa jawab sendiri tentang pentingnya e-sport bagi perekonomian Indonesia?
874,netral,"Yg di bahas ekonomi makro,ekonomi negara sprti bumn, pertambangan, export, import."
875,positif,"Pembagian kesempatan berbicara pak Jokowi & Ma'aruf Amin ini pas. Boleh dibilang, apa yg disampaikan mereka itu adalah hal sdh dikuasai betul. Soal ekonomi mikro dan makro, birokrasi, pemerintahan, budaya, perempuan, perbankan syarih, eko syariah, dll. Tdk asbun. #JokowiAmin"
876,netral,"Baik berupa kawasan industri kecil baik kawasan ekonomi khusus, kawasan ekonomi khusus pariwisata dan berefek pada barang kerajinan desa dan juga kami ingin terus memperjuangkan kemandirian ekonomi desa,"" papar Jokowi."
877,positif,"Makasih ya Allah.. skenario MU begitu Agung. Engkau hadirkan jaman cebong utk tunjukan para pengkhianat & munafik bangsa. kini disaat yg tepat Engkau beri obat nya. Prabowo Sandi ,Pertama kali dlm sejarah Asia Tenggara, Presiden menyedekahkan GAJI nya.   #17April2019PeoplePower pic.twitter.com/yPk54WbPFh"
878,netral,"New post: Pengamat Tanggapi Positif Pertumbuhan Ekonomi Era Jokowi, Meski Tak Capai Target  http://www.inibalikpapan.com/pengamat-tanggapi-positif-pertumbuhan-ekonomi-era-jokowi-meski-tak-capai-target/Â â€¦"
879,negatif,Prabowo lupa kalau ekonomi Indonesia hancur karena suharto menjajah Indonesia 32 th sehingga dilengser kan oleh rakyat. Dan prabowo adalah menantu suharto saat itu
880,positif,saya setuju sama pak Prabowo bahwa kerusakan ekonomi Indonesia ini karena presiden2 sebelumnya. termasuk SBY. @AgusYudhoyono
881,positif,"Kata Prabowo, SBY ikut bikin ekonomi Indonesia salah arah. Begitu ya. Paham saya."
882,negatif,"Lo dengar perdebatan seorang presiden RI tadi malam gak? Dia menyebut mobile legend, game tsb perlu upgrade level gak? Lo tau tujuan debat? Utk bahas  persoalan bangsa ini, soal ekonomi itu terkait uang, harus ada nilai ekonomis bagi negara bukan utk pembuat aplikasi game"
883,netral,Prabowo-Sandi Ingin Bumn Jadi Penyangga Ekonomi Rakyat #debatkelima #debatterakhircapres2019  https://gerbang.co.id/prabowo-sandi-ingin-bumn-jadi-penyangga-ekonomi-rakyat/Â â€¦ pic.twitter.com/kF8MCwh47t
884,netral,"Selama 4,5 th saya dgn Pak JK telah berusaha keras berjuang keras dlm rangka mengembalikan watak asli dari pembangunan di negara kita Indonesia yaitu tdk bertumpu d prtmbuhan ekonomi sjtp bertumpu pemerataan krna prtmbuhan ekonomi, kata Jokowi memaparkan visi-misi pd debat ke-5"
885,netral,"Prabowo ingin kejar penghindar pajak, TKN: Pemimpin harus beri contoh  http://bit.ly/2DbRE2FÂ "
886,positif,"Infrstruktur sukses BESAR, sluruh daerah merasakan keadilan & kesejahteraan, EKONOMI cukup bagus, Keamanan mantep, DANA DESA TOP BGET, para sindikat pencuri ikan tiarap, AMNESTI PAJAK berhasil,Prestasi JOKOWI hrs di lanjutkan, #JokowiLagi #PrabowoSalahkanSBY"
887,netral,Prabowo: Bumn Benteng Terakhir Ekonomi Indonesia  https://gerbang.co.id/prabowo-bumn-benteng-terakhir-ekonomi-indonesia/Â â€¦ pic.twitter.com/YeGA4gNyfD
888,positif,"Argumen Jokowi sangat make sense drpd yg satu itu setiap debat kata si A di daerah ini si B di daerah itu, ini sangat ketauan yg satu itu tdk paham ekonomi negara. Dan skrg minta rakyat milih dia yg hanya paham ekonomi sebatas perusahaan. Jgn membodoi warga dgn kata2 ibu ini itu."
889,negatif,Hal hal yang remeh temeh ditanyakan..rakyat tidak butuh itu..rakyat butuh kesejahteraan.. Kepastian hukum..ekonomi stabil..bukan GAME... Dari pertanyaan sdh bisa menggambarkan kualitas seseorang...sungguh naif dan memalukan.
890,negatif,"Dr ini aja kita"" dah bisa ambil kesimpulan klo ulama"" jg ustad"" y itu berbayar dn mulut y disogok smua. Cuma @prabowo jg hrus dong byr gaji"" karyawan y,jgn hny krn ingin jd RI 1 suap orang sana sini, smntara bkas karyawan y kelaparan dgn anak istri y. Tul g @Fahrihamzah @fadlizon"
891,negatif,"JD pejabat itu digaji rakyat, amanah rakyat, JD jgn nakut2in beramai2 teriak nunjukin pangkat Dan kacak pinggang, angkuh betul! Giliran Ada yg ganggu pemilu diem, percuma teriak, kumis tebal Pak...."
892,positif,Lah pak prabowo ama sandi dr awal udah kaya... Berapa sih gaji ama tunjangan nya setahun.... Ga ada apa2nya dibandingkan penghasilan dr usaha2 yg mereka punya....teko klo dituang bakal ngeluarin isi di dalamnya... Klo pikiran lo negatif ya yg keluar juga negatif ky gini
893,netral,Skak Mat untuk Prabowo - Sandi  Amburadul Ekonomi Macro - Micro memangnya NKRI dihuni segelintir orang  https://www.facebook.com/KASTAONE/posts/2362981890399549Â â€¦
894,netral,Demokrat Minta Prabowo Hargai Kontribusi Presiden SBY  http://bit.ly/2X9aSxxÂ 
895,netral,"Ekonom CSIS Fajar B Hirawan menjelaskan faktor eksternal lebih menyebabkan mengapa pertumbuhan ekonomi 6,5% dalam jangka waktu 5 tahun ke depan sulit untuk dicapai  #HoaxSandiaga #SandiwaraUno #JokowiMenangTotalDebat #salamsatujempol #prabowo #debatpilpres2019 #prabowosandi2019 pic.twitter.com/jFcs1SUfw1"
896,netral,"Capres Joko Widodo (Jokowi) menekankan pemerataan pembangunan di wilayah Indonesia. Lewat pemerataan pembangunan seperti infrastruktur, pertumbuhan ekonomi bisa meningkat di tiap wilayah."
897,negatif,Cina butuh 40 tahun bangun ekonominya katanya ... @jokowi baru 4.5 tahun dah mau digeser !!! Hiks
898,netral," https://bit.ly/2XaxtdaÂ   Ekonomi Salah Arah, Om Wowo Salahkan Presiden-Presiden Sebelum @jokowi #PrabowoSalahkanSBY"
899,netral,"Om Wowo bilang, ekonomi salah jalan. Dia menyalahkan presiden-presiden sebelum @jokowi #PrabowoSalahkanSBY"
900,netral,"Debat kelima ini akan bertemakan ekonomi dan kesejahteraan sosial, keuangan dan investasi, serta perdagangan industri. Untuk mewujudkannya, Jokowi mengaku telah membangun infrastruktur yang tidak hanya di Pulau Jawa."
901,negatif,"Pertumbuhan ekonomi itu salah satu indikator keberhasilan pemerintah, jangan hanya krn tdk tercapai trs mengabaikannya. Coba kalu skrg pertumbuhan ek kita 10% pasti bpk jual buat kampanye. Bukankah begitu?"
902,netral,"Karena pertumbuhan ekonomi tanpa adanya pemerataan adalah sebuah ketimpangan, sebut Jokowi."
903,netral,"Jokowi vs Sandi Debat Ekonomi Makro dan Mikro, Pahami Artinya   http://bit.ly/2KBgIGCÂ "
904,netral,Jokowi menyebut pembangunan tidak hanya bertumpu pada pertumbuhan ekonomi saja tetapi juga pemerataan. Dia ingin mewujudkan keadilan yang menyeluruh.
